Unnamed: 0,y,x,heading,distance,carvature,speedMode,steer,velocity,status,type
744,27.94818937,-144.8327946,147.543,0.210463868,0.004809809,0,0,0,good,GPS
745,28.06454093,-145.0081724,147.596,0.210463868,0.00439517,0,0,0,good,GPS
746,28.18089249,-145.1835501,147.645,0.210463869,0.004063459,0,0,0,good,GPS
747,28.29724405,-145.3589278,147.684,0.210463869,0.003234182,0,0,0,good,GPS
748,28.4134118,-145.5232288,147.731,0.201220683,0.004076642,0,0,0,good,GPS
749,28.52976337,-145.6986066,147.78,0.210463872,0.004063459,0,0,0,good,GPS
750,28.63580489,-145.8741525,147.838,0.20508824,0.00493588,0,0,0,good,GPS
751,28.75215646,-146.0495303,147.901,0.210463874,0.005224447,0,0,0,good,GPS
752,28.86850804,-146.224908,147.959,0.210463875,0.004809809,0,0,0,good,GPS
753,28.98485962,-146.4002858,148.016,0.210463874,0.004726881,0,0,0,good,GPS
754,29.10102738,-146.5645868,148.08,0.201220687,0.005551172,0,0,0,good,GPS
755,29.21737896,-146.7399645,148.141,0.210463876,0.005058592,0,0,0,good,GPS
756,29.3234205,-146.9155105,148.222,0.205088247,0.006893212,0,0,0,good,GPS
757,29.43977209,-147.0908882,148.316,0.210463878,0.007795207,0,0,0,good,GPS
758,29.55612368,-147.2662659,148.423,0.210463879,0.008873267,0,0,0,good,GPS
759,29.67247527,-147.4416437,148.541,0.210463879,0.009785473,0,0,0,good,GPS
760,29.778333,-147.6061129,148.656,0.195591349,0.010261848,0,0,0,good,GPS
761,29.8946846,-147.7814906,148.758,0.210463881,0.008458629,0,0,0,good,GPS
762,30.0110362,-147.9568684,148.875,0.210463884,0.009702545,0,0,0,good,GPS
763,30.11707776,-148.1324143,148.996,0.205088251,0.010297267,0,0,0,good,GPS
764,30.22311931,-148.3079602,149.127,0.205088249,0.01114828,0,0,0,good,GPS
765,30.33947093,-148.483338,149.266,0.210463885,0.011526955,0,0,0,good,GPS
766,30.44551249,-148.6588839,149.414,0.205088253,0.012595004,0,0,0,good,GPS
767,30.5618641,-148.8342617,149.557,0.210463887,0.011858665,0,0,0,good,GPS
768,30.66790567,-149.0098076,149.692,0.205088253,0.011488686,0,0,0,good,GPS
769,30.77413106,-149.1964303,149.828,0.214736728,0.011053758,0,0,0,good,GPS
770,30.88017263,-149.3719762,149.96,0.205088256,0.011233381,0,0,0,good,GPS
771,30.99652426,-149.547354,150.102,0.210463889,0.011775738,0,0,0,good,GPS
772,31.10256583,-149.7228999,150.253,0.205088257,0.012850308,0,0,0,normal,GPS
773,31.20860741,-149.8984458,150.397,0.205088257,0.012254598,0,0,0,normal,GPS
774,31.314649,-150.0739918,150.548,0.205088257,0.012850308,0,0,0,normal,GPS
775,31.4208744,-150.2606145,150.7,0.214736732,0.0123542,0,0,0,normal,GPS
776,31.52691599,-150.4361604,150.837,0.20508826,0.011658888,0,0,0,normal,GPS
777,31.63295758,-150.6117063,150.969,0.20508826,0.011233381,0,0,0,good,GPS
778,31.73899918,-150.7872523,151.11,0.20508826,0.011999294,0,0,0,good,GPS
779,31.83491454,-150.9740432,151.257,0.209977607,0.012218608,0,0,0,good,GPS
780,31.94095614,-151.1495891,151.409,0.205088261,0.012935409,0,0,0,good,GPS
